country,gaz
AUS,143.7
AUT,66.3
BEL,86.5
CAN,209
CHL,38
CZE,54.8
DNK,51.5
EST,6.4
FIN,32
FRA,261.3
DEU,407
GRC,27.6
HUN,34.7
ISL,2.5
IRL,40.5
ISR,37.9
ITA,210.2
JPN,421
KOR,299.7
LVA,6.1
LTU,12.5
LUX,11.4
MEX,208.1
NLD,93.4
NZL,22.3
NOR,41.1
POL,91.7
PRT,26.4
SVK,32.2
SVN,9.8
ESP,133.2
SWE,56.6
CHE,92.3
TUR,140.5
GBR,271.4
USA,1343.80
ARG,42.2
BRA,117.2
BRN,2.1
BGR,15.7
KHM,7.3
CHN,881.4
COL,36.1
CRI,8.6
HRV,7.3
CYP,5
HKG,91.1
IND,307.3
IDN,116.9
KAZ,30.4
MYS,112.5
MLT,2.2
MAR,22
PER,25.9
PHL,54.4
ROU,27.4
RUS,128.7
SAU,131.8
SGP,100.6
ZAF,55.6
TWN,137.9
THA,145.4
TUN,9.5
VNM,110.6
