country,gaz
AUS,131.7
AUT,71.3
BEL,92.7
CAN,242.3
CHL,35
CZE,54.2
DNK,62.3
EST,7.2
FIN,50.2
FRA,324.3
DEU,463.5
GRC,49.2
HUN,45.4
ISL,4
IRL,45
ISR,38.5
ITA,303.9
JPN,533.6
KOR,321.8
LVA,8.1
LTU,11.9
LUX,9.6
MEX,176.5
NLD,106.4
NZL,21.8
NOR,46.4
POL,81.8
PRT,35.3
SVK,31.2
SVN,13.3
ESP,197.9
SWE,77.2
CHE,87
TUR,132.2
GBR,334.5
USA,1580.20
ARG,32.2
BRA,89.3
BRN,2
BGR,14.9
KHM,5.2
CHN,475.2
COL,23.5
CRI,6.6
HRV,13.1
CYP,5.5
HKG,77.5
IND,199.8
IDN,85.7
KAZ,29.7
MYS,99.9
MLT,2.4
MAR,15.9
PER,14.4
PHL,32.1
ROU,30.4
RUS,140.6
SAU,70.2
SGP,85.2
ZAF,56.4
TWN,180.5
THA,113.9
TUN,8.4
VNM,53.5
