"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SH.STA.WASH.P5","","","",
"SH.STA.SMSS.ZS","","","",
"SH.STA.SMSS.UR.ZS","","","",
"SH.STA.SMSS.RU.ZS","","","",
"SH.STA.POIS.P5.MA","","","",
"SH.STA.POIS.P5.FE","","","",
"SH.STA.POIS.P5","","","",
"SH.STA.ODFC.ZS","Défécation à l’air libre (% de la population)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.","Programme conjoint OMS/UNICEF de surveillance de l'approvisionnement en eau et de l'assainissement (JMP)(http://www.wssinfo.org/).",
"SH.STA.ODFC.UR.ZS","Défécation à l’air libre, zones urbaines (% de la population urbaine)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.","Programme conjoint OMS/UNICEF de surveillance de l'approvisionnement en eau et de l'assainissement (JMP)(http://www.wssinfo.org/).",
"SH.STA.ODFC.RU.ZS","Défécation à l’air libre, zones rurales (% de la population rurale)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).",
"SH.STA.HYGN.ZS","","","",
"SH.STA.HYGN.UR.ZS","","","",
"SH.STA.HYGN.RU.ZS","","","",
"SH.STA.BASS.ZS","","","",
"SH.STA.BASS.UR.ZS","","","",
"SH.STA.BASS.RU.ZS","","","",
"SH.STA.AIRP.P5","","","",
"SH.H2O.SMDW.ZS","","","",
"SH.H2O.SMDW.UR.ZS","","","",
"SH.H2O.SMDW.RU.ZS","","","",
"SH.H2O.BASW.ZS","","","",
"SH.H2O.BASW.UR.ZS","","","",
"SH.H2O.BASW.RU.ZS","","","",
"NY.GDP.TOTL.RT.ZS","Total des bénéfices tirés des ressources naturelles (% du PIB)","Le total des bénéfices tirés des ressources naturelles correspond à la somme des bénéfices tirés du pétrole, du gaz naturel, du charbon (anthracite et houille), des minéraux et des forêts.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.GDP.PETR.RT.ZS","Bénéfices tirés du pétrole (% du PIB)","Les bénéfices tirés du pétrole correspondent à la différence entre la valeur de pétrole brut aux prix sur les marchés internationaux et le coût de production total.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.GDP.NGAS.RT.ZS","Bénéfices tirés du gaz (% du PIB)","Les bénéfices tirés du gaz correspondent à la différence entre la valeur de la production de gaz naturel aux prix sur les marchés internationaux et le coût de production total.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.GDP.MINR.RT.ZS","Bénéfices tirés des minéraux (% du PIB)","Les bénéfices tirés des minéraux correspondent à la différence entre la valeur de la production pour un stock de minéraux aux prix sur les marchés internationaux et leur coût de production total.  Les minéraux inclus dans le calcul sont l'étain, l'or, le plomb, le zinc, le fer, le cuivre, le nickel, l'argent, la bauxite et le phosphate.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.GDP.FRST.RT.ZS","Bénéfices tirés des forêts (% du PIB)","Les bénéfices tirés des forêts correspondent à la récolte de bois d'œuvre, multipliée par le produit des prix moyens et un tarif locatif propre à la région.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.GDP.COAL.RT.ZS","Bénéfices tirés du charbon (% du PIB)","Les bénéfices tirés du charbon correspondent à la différence entre la valeur de la production d'anthracite et de houille aux prix sur les marchés internationaux et leur coût de production total.","estimations basées sur des sources et méthodes décrites dans "" The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium "" (La richesse changeante des nations : mesurer le développement durable dans le nouveau millénaire), publié par la Banque mondiale en 2011.",
"NY.ADJ.SVNX.GN.ZS","Épargne nette rajustée, en excluant les dommages causés par les émissions de particules (% du RNB)","L'épargne nette ajustée est égale à l'épargne nette nationale plus les dépenses en éducation, moins l'épuisement en énergie, en minéraux et en ressources forestières et moins les dommages causés par le dioxyde de carbone. Cette série exclut les dommages causés par les émissions de particules.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.SVNX.CD","Épargne nette rajustée, à l’exclusion des dommages résultant de l’émission de particules (US $ courants)","L'épargne nette ajustée est égale à l'épargne nette nationale plus les dépenses en éducation, moins l'épuisement en énergie, en minéraux et en ressources forestières et moins les dommages causés par le dioxyde de carbone. Cette série exclut les dommages causés par les émissions de particules.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.SVNG.GN.ZS","Épargne nette rajustée, en incluant les dommages causés par les émissions de particules (% du RNB)","L'épargne nette ajustée est égale à l'épargne nette nationale plus les dépenses en éducation, moins l'épuisement en énergie, en minéraux et en ressources forestières et moins les dommages causés par le dioxyde de carbone et les émissions de particules.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.SVNG.CD","Épargne nette rajustée, y compris les dommages résultant de l’émission de particules (US $ courants)","L'épargne nette ajustée est égale à l'épargne nette nationale plus les dépenses en éducation, moins l'épuisement en énergie, en minéraux et en ressources forestières et moins les dommages causés par le dioxyde de carbone et les émissions de particules.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.NNAT.GN.ZS","Épargne rajustée : épargne nette nationale (% du RNB)","L'épargne nette nationale est égale à l'épargne brute nationale moins la valeur de la consommation du capital immobilisé.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.NNAT.CD","Épargne rajustée : épargne nationale nette (US $ courants)","L'épargne nette nationale est égale à l'épargne brute nationale moins la valeur de la consommation du capital immobilisé.","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.ICTR.GN.ZS","Épargne rajustée : épargne brute (% du RNB)","L'épargne brute est la différence entre le revenu national brut et la consommation publique et privé, plus les transferts courants.","Comptes nationaux et fichiers de données de la Banque mondiale.",
"NY.ADJ.DPEM.GN.ZS","Épargne rajustée : dommages causés par les émissions de particules (% du RNB)","Particulate emissions damage is the damage due to exposure of a countrys population to ambient concentrations of particulates measuring less than 2.5 microns in diameter (PM2.5), ambient ozone pollution, and indoor concentrations of PM2.5 in households cooking with solid fuels. Damages are calculated as foregone labor income due to premature death. Estimates of health impacts from the Global Burden of Disease Study 2013 are for 1990, 1995, 2000, 2005, 2010, and 2013. Data for other years have been extrapolated from trends in mortality rates.","Les données sur l’incidence sanitaire de l’exposition à la pollution atmosphérique aux PM2,5 sont issues de l’étude Global Burden of Disease de 2013. Les données sont fournies par l’Institut américain de mesure et d’évaluation sanitaires (IHME) de l’université de Washington.",
"NY.ADJ.DPEM.CD","Épargne rajustée : dommages résultant de l’émission de particules (US $ courants)","Particulate emissions damage is the damage due to exposure of a countrys population to ambient concentrations of particulates measuring less than 2.5 microns in diameter (PM2.5), ambient ozone pollution, and indoor concentrations of PM2.5 in households cooking with solid fuels. Damages are calculated as foregone labor income due to premature death. Estimates of health impacts from the Global Burden of Disease Study 2013 are for 1990, 1995, 2000, 2005, 2010, and 2013. Data for other years have been extrapolated from trends in mortality rates.","Les données sur l’incidence sanitaire de l’exposition à la pollution atmosphérique aux PM2,5 sont issues de l’étude Global Burden of Disease de 2013. Les données sont fournies par l’Institut américain de mesure et d’évaluation sanitaires (IHME) de l’université de Washington.",
"NY.ADJ.DNGY.GN.ZS","Épargne rajustée : épuisement de l’énergie (% du RNB)","L'épuisement de l'énergie correspond au rapport de la valeur du stock des ressources énergétiques sur la durée d'exploitation des ressources restantes (plafonnée à 25 ans). Il concerne le charbon, le pétrole brut et le gaz naturel.  ","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
"NY.ADJ.DNGY.CD","Épargne rajustée : épuisement de l’énergie (US $ courants)","L'épuisement de l'énergie correspond au rapport de la valeur du stock des ressources énergétiques sur la durée d'exploitation des ressources restantes (plafonnée à 25 ans). Il concerne le charbon, le pétrole brut et le gaz naturel.  ","Estimations du personnel de la Banque mondiale se fondant sur les sources et les méthodes de ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011) de la Banque mondiale.",
